recording_id|source_artist|recording_artist|record_name|rec_artist_id|workid|rating
690937|The Rolling Stones|The Rolling Stones / Jimi Hendrix|(I Can’t Get No) Satisfaction / Outro: Star Spangled Banner|1384275|357708|NULL
5056437|The Beatles|Jerry Lee Lewis|(Intro) Little Queenie|1803|6007740|NULL
5056437|The Rolling Stones|Jerry Lee Lewis|(Intro) Little Queenie|1803|6007740|NULL
13488930|The Beatles|The Rhythmaires|(Keep Your) Hands Off My Baby|972737|12708696|NULL
397681|The Beatles|Blackstreet|(Money Can't) Buy Me Love|10661|1141092|NULL
3939505|The Beatles|Megan Mullally and Supreme Music Program|(She Came in Through the) Bathroom Window|247477|304821|NULL
8825681|The Beatles|Tim Rose|(You’ve Got to) Hide Your Love Away|92605|674753|NULL
11607222|The Beatles|Ron Jones|11001001: I Remember You (M23)|41746|506842|NULL
9360866|The Beatles|John Lennon & Paul McCartney|12 Songs for Guitar: Here, There and Everywhere|833961|1532808|NULL
9360864|The Beatles|John Lennon & Paul McCartney|12 Songs for Guitar: Hey Jude|833961|155973|100
9360865|The Beatles|John Lennon & Paul McCartney|12 Songs for Guitar: Michelle|833961|7524001|NULL
9360867|The Beatles|John Lennon & Paul McCartney|12 Songs for Guitar: Yesterday|833961|674763|80
1420909|The Rolling Stones|The Danse Society|2,000 Light Years From Home|45979|306567|NULL
416186|The Rolling Stones|KISS|2,000 Man|1234915|582702|80
582702|The Rolling Stones|KISS|2,000 Man|1234915|582702|NULL
18145215|The Rolling Stones|KISS|2,000 Man (with solo Ace Frehley)|1234915|582702|NULL
18170579|The Rolling Stones|KISS|2,000 Man / Solo Ace Frehley|1234915|582702|NULL
7319841|The Rolling Stones|Monster Magnet|2000 Light Years From Home|932|306567|NULL
11481285|The Rolling Stones|The Danse Society|2000 Light Years From Home|45979|306567|NULL
569776|The Rolling Stones|Sky Cries Mary|2000 Light Years From Home|47099|306567|NULL
8687693|The Rolling Stones|Rachael Yamagata|2000 Light Years From Home|116405|306567|NULL
3123144|The Rolling Stones|Dan|2000 Light Years From Home|172321|306567|NULL
5836840|The Rolling Stones|Dr. Phibes and the House of Wax Equations|2000 Light Years From Home|200411|306567|NULL
10258936|The Rolling Stones|The Multicoloured Shades|2000 Light Years From Home|438817|306567|NULL
7959964|The Rolling Stones|Cary Grace|2000 Light Years From Home|476347|306567|NULL
11197966|The Rolling Stones|Vitamin String Quartet|2000 Light Years From Home|562672|306567|NULL
17117623|The Rolling Stones|Vivabeat|2000 Light Years From Home|956694|306567|NULL
17004733|The Rolling Stones|Jimmy Creasey|2000 Light Years From Home|1382422|306567|NULL
2116430|The Rolling Stones|Sky Cries Mary|2000 Light Years from Home|47099|306567|NULL
