recordingid|sourceartist|recording_artist|recordname|recartistcredit
4145890|The Rolling Stones|Andrew Francis|Under My Thumb|260351
11908337|The Beatles|Andrew Gold|All I've Got to Do|38260
17896770|The Beatles|Andrew Gold|Dr. Robert|38260
11908345|The Beatles|Andrew Gold|Got to Get You Into My Life|38260
11908348|The Beatles|Andrew Gold|Here There and Everywhere|38260
11908347|The Beatles|Andrew Gold|In My Life|38260
11908335|The Beatles|Andrew Gold|Lady Madonna|38260
11908354|The Beatles|Andrew Gold|Let It Be|38260
11908339|The Beatles|Andrew Gold|Lucy in the Sky With Diamonds|38260
11908346|The Beatles|Andrew Gold|Norwegian Wood (This Bird Has Flown)|38260
11908344|The Beatles|Andrew Gold|Strawberry Fields Forever|38260
6949375|The Beatles|Andromeda Project|With a Little Help From My Friends (from The Wonder Years)|1433464
6607202|The Beatles|André Kostelanetz|Yesterday|121127
11682858|The Rolling Stones|Andrés Calamaro|Before They Make Me Run|58636
13149724|The Beatles|Andrés Calamaro|Golden Slumbers|58636
13149726|The Beatles|Andrés Calamaro|Helter Skelter|58636
2114500|The Beatles|Andrés Calamaro|I will|58636
11682865|The Beatles|Andrés Calamaro|It's All Too Much|58636
1467524|The Beatles|Andrés Calamaro|Johnny B. Goode|58636
2654331|The Rolling Stones|Andrés Calamaro|Love in Vain|58636
11682870|The Beatles|Andrés Calamaro|Ob La Di, Ob La Da, Cha Cha Cha|58636
2114527|The Beatles|Andrés Calamaro|Oh! Darling|58636
2114543|The Beatles|Andrés Calamaro|Sexy Sadie|58636
2114475|The Beatles|Andrés Calamaro|The Long and Winding Road|58636
777052|The Rolling Stones|Andrés Calamaro|Time Is On My Side|58636
2114519|The Rolling Stones|Andrés Calamaro|Under My Thumb|58636
6475509|The Rolling Stones|Andy Abraham|Just My Imagination|348544
13292138|The Beatles|Andy Anderson & The Dawnbreakers|I'm Gonna Sit Right Down & Cry Over You|904991
13292121|The Beatles|Andy Anderson & The Rolling Stones|Rock'n'Roll Medley: Rip It Up / Ready Teddy / Long Tall Sally|494584
4984663|The Beatles|Andy Mackay|Long and Winding Road|310831
1365853|The Beatles|Andy Partridge|Strawberry Fields Forever|68672
1503523|The Rolling Stones|Andy Taylor|Sympathy for the Devil|52269
13237280|The Beatles|Andy Timmons|A Day in the Life|87766
13237274|The Beatles|Andy Timmons|Being for the Benefit of Mr. Kite!|87766
13237271|The Beatles|Andy Timmons|Getting Better|87766
13237278|The Beatles|Andy Timmons|Good Morning, Good Morning|87766
13237270|The Beatles|Andy Timmons|Lucy in the Sky With Diamonds|87766
13237268|The Beatles|Andy Timmons|Sgt. Pepper's Lonely Hearts Club Band|87766
13237279|The Beatles|Andy Timmons|Sgt. Pepper's Lonely Hearts Club Band (reprise)|87766
13237273|The Beatles|Andy Timmons|She's Leaving Home|87766
13237281|The Beatles|Andy Timmons|Strawberry Fields Forever|87766
13237276|The Beatles|Andy Timmons|When I'm Sixty-Four|87766
13237269|The Beatles|Andy Timmons|With a Little Help From My Friends|87766
13237275|The Beatles|Andy Timmons|Within You, Without You|87766
5498598|The Beatles|Andy Williams|A Taste of Honey|32737
15584442|The Beatles|Andy Williams|Here There and Everywhere|32737
8082063|The Beatles|Andy Williams|Here, There and Everywhere|32737
5498591|The Beatles|Andy Williams|Michelle|32737
1604462|The Beatles|Andy Williams|Something|32737
10683117|The Beatles|Andy Williams|The Long and Winding Road|32737
5498596|The Beatles|Andy Williams|Yesterday|32737
15428017|The Beatles|Ane Brun|From Me to You|153058
447134|The Rolling Stones|Angels of Venice|As Tears Go By|95598
447130|The Beatles|Angels of Venice|Within You Without You|95598
5442198|The Beatles|Angèle Dubeau & La Pietà|Yesterday|1004054
6907773|The Rolling Stones|Angélique Kidjo feat. Joss Stone|Gimme Shelter|898713
10632009|The Beatles|Ania|Strawberry Fields Forever|398629
13824994|The Beatles|Anika Mauer & Katja Riemann|Falling in Love Again|1028805
3072538|The Beatles|Anita Bryant|Till There Was You|52697
1590484|The Beatles|Anita Harris|A Taste of Honey|82432
9980488|The Beatles|Anita Harris|Hey Jude|82432
12241004|The Beatles|Anita Harris|Octopus's Garden|82432
5333193|The Beatles|Anita Kerr Singers|All You Need Is Love|96694
5628618|The Beatles|Anita Kerr Singers|Ob-La-Di, Ob-La-Da|96694
3435148|The Beatles|Ann Dyer and No Good Time Fairies|Eleanor Rigby|217881
3435149|The Beatles|Ann Dyer and No Good Time Fairies|For No One|217881
3435154|The Beatles|Ann Dyer and No Good Time Fairies|I Want to Tell You|217881
3435151|The Beatles|Ann Dyer and No Good Time Fairies|I'm Only Sleeping|217881
3435153|The Beatles|Ann Dyer and No Good Time Fairies|Rain|217881
3435146|The Beatles|Ann Dyer and No Good Time Fairies|She Said, She Said|217881
3435150|The Beatles|Ann Dyer and No Good Time Fairies|Taxman|217881
3435152|The Beatles|Ann Dyer and No Good Time Fairies|Tomorrow Never Knows|217881
2767712|The Beatles|Ann Hampton Callaway|Falling in Love Again|4332
5394063|The Rolling Stones|Ann Hampton Callaway|Route 66|4332
5077245|The Beatles|Ann-Margret|Kansas City|30402
12964204|The Beatles|Anna Calvi|Baby It’s You|766351
11320341|The Beatles|Anne Ducros|Blackbird|58355
6225766|The Beatles|Anne Murray|Day Tripper|2046
1058458|The Beatles|Anne Murray|Let It Be|2046
333922|The Beatles|Anne Sofie von Otter & Elvis Costello|For No One|808662
5077630|The Beatles|Annie Haslam|She’s Leaving Home|37149
2048101|The Beatles|Annie Lennox|Don't Let Me Down|136
2540958|The Beatles|Annie Lennox|Don't Let Me Down (MTV unplugged)|136
14909154|The Beatles|Annie Lennox|Don't Let Me Down (live)|136
15000308|The Beatles|Annie Lennox|Don`t Let Me Down|136
7043626|The Beatles|Anonymously Yours|Get Back|147466
17339764|The Rolling Stones|Anthony Joseph and The Spasm Band|Dead Flowers|567026
14158093|The Beatles|Anthony Lomas|Here Comes The Sun|1075638
640458|The Beatles|Anthony Stewart Head & George Sarah|We Can Work It Out|805449
